Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Train_RMSLE,Test_RMSLE,Train_MAPE,Test_MAPE,Train_Accuracy,Test_Accuracy,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_Specificity,Test_Specificity,Train_FPR,Test_FPR,Train_FNR,Test_FNR,Train_FDR,Test_FDR,Train_FOR,Test_FOR,Train_NPV,Test_NPV,Train_F1,Test_F1,Train_Jaccard,Test_Jaccard,Train_MCC,Test_MCC,Train_Kappa,Test_Kappa,Train_Markdness,Test_Markdness,Train_FM,Test_FM,Train_Hamming Loss,Test_Hamming Loss,Training Time (s),Testing Time (s)
Optimized XGBoost (KOA),0.9831760104402237,0.9375050798961089,4.779466489668242,16.103496925851765,1.4610656166423872,2.842851665135725,2.1861990965299207,4.012916262003453,0.08138135448760557,0.13019721606843773,5.336565450712327,9.556656544132004,0.9696601941747572,0.8786407766990292,1.0,1.0,0.9696601941747572,0.8786407766990292,0,0,0,0,0.03033980582524272,0.12135922330097088,0.0,0.0,1.0,1.0,0.0,0.0,0.9845964263709179,0.9354005167958657,0.9696601941747572,0.8786407766990292,0.0,0.0,0.0,0.0,0.0,0.0,0.9847132547979423,0.9373584035463859,0.03033980582524272,0.12135922330097088,0.2791709899902344,0.006035566329956055
Optimized XGBoost (PSO),0.9863434245653144,0.9237544646665576,3.8796472395441883,19.6467127537869,1.3029544315523314,3.0106575419601884,1.9696820148298528,4.432461252372874,0.06726946296892618,0.1320128372158429,4.539804506570504,9.94419164451832,0.9793689320388349,0.8592233009708737,1.0,1.0,0.9793689320388349,0.8592233009708737,0,0,0,0,0.02063106796116505,0.1407766990291262,0.0,0.0,1.0,1.0,0.0,0.0,0.9895769466584916,0.9242819843342037,0.9793689320388349,0.8592233009708737,0.0,0.0,0.0,0.0,0.0,0.0,0.9896307048787618,0.9269429869041966,0.02063106796116505,0.1407766990291262,0.31510448455810547,0.006031513214111328
Optimized XGBoost (BO),0.9530621486191622,0.9102582586942705,13.334404837488838,23.124373194412946,2.599470641196353,3.59215523562385,3.6516304355025904,4.808780842834589,0.12375266173908546,0.1421890592737402,9.137108116675376,11.517588463635859,0.9065533980582524,0.8495145631067961,1.0,1.0,0.9065533980582524,0.8495145631067961,0,0,0,0,0.09344660194174757,0.15048543689320387,0.0,0.0,1.0,1.0,0.0,0.0,0.9509866327180141,0.9186351706036746,0.9065533980582524,0.8495145631067961,0.0,0.0,0.0,0.0,0.0,0.0,0.9521309773651168,0.9216911430120157,0.09344660194174757,0.15048543689320387,0.18850064277648926,0.00451970100402832
Gradient Boosting,0.8694870758652221,0.8363620992850921,37.07694570033237,42.16570605634366,4.754952294674239,5.172881159496478,6.089084142983439,6.493512613088825,0.21737557662361573,0.22116865919103457,18.566308645533898,19.13334021118855,0.7463592233009708,0.7233009708737864,1.0,1.0,0.7463592233009708,0.7233009708737864,0,0,0,0,0.2536407766990291,0.2766990291262136,0.0,0.0,1.0,1.0,0.0,0.0,0.8547602501737317,0.83943661971831,0.7463592233009708,0.7233009708737864,0.0,0.0,0.0,0.0,0.0,0.0,0.8639208431916496,0.8504710288268416,0.2536407766990291,0.2766990291262136,2.9217076301574707,0.03153109550476074
XGBoost,0.8291124412101514,0.7398064363460687,48.546829979615914,67.04586941565852,5.445449674511419,6.286811689265724,6.967555523970793,8.188154212987108,0.17359369967097035,0.22045485101007725,14.292702157220122,17.187416638613076,0.808252427184466,0.6504854368932039,1.0,1.0,0.808252427184466,0.6504854368932039,0,0,0,0,0.19174757281553398,0.34951456310679613,0.0,0.0,1.0,1.0,0.0,0.0,0.8939597315436242,0.788235294117647,0.808252427184466,0.6504854368932039,0.0,0.0,0.0,0.0,0.0,0.0,0.8990286019835331,0.8065267738229177,0.19174757281553398,0.34951456310679613,0.6389758586883545,0.005775928497314453
LightGBM,0.7679250339906907,0.722873989080897,65.9293397200098,71.40896984091792,6.451633775643972,6.841723719317952,8.119688400425831,8.450382822151782,0.30168419414944325,0.31194547802868944,27.874143022593067,28.928121685601273,0.6286407766990292,0.5776699029126213,1.0,1.0,0.6286407766990292,0.5776699029126213,0,0,0,0,0.3713592233009709,0.4223300970873786,0.0,0.0,1.0,1.0,0.0,0.0,0.7719821162444114,0.7323076923076923,0.6286407766990292,0.5776699029126213,0.0,0.0,0.0,0.0,0.0,0.0,0.7928687007941663,0.7600459873669627,0.3713592233009709,0.4223300970873786,6.065314769744873,0.02770709991455078
AdaBoost,0.7563422162992983,0.7209218599569314,69.21986060480063,71.91198841097749,6.602869239220278,6.745017362460181,8.319847390715807,8.480093655790453,0.28556901252646844,0.2781031709170157,25.39038461255414,24.45484046315964,0.6055825242718447,0.5922330097087378,1.0,1.0,0.6055825242718447,0.5922330097087378,0,0,0,0,0.39441747572815533,0.4077669902912621,0.0,0.0,1.0,1.0,0.0,0.0,0.7543461829176115,0.7439024390243902,0.6055825242718447,0.5922330097087378,0.0,0.0,0.0,0.0,0.0,0.0,0.7781918299955639,0.7695667675444008,0.39441747572815533,0.4077669902912621,0.6531636714935303,0.07977700233459473
